TrigReport ---------- Event  Summary ------------
TrigReport Events total = 2171 passed = 511 failed = 1660
TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     1   32        500        500          0          0 hltEcalDetIdToBeRecovered
TrigReport     1   33        500        500          0          0 hltEcalRecHit
TrigReport     1   34        500        500          0          0 hltEcalPreshowerRecHit
TrigReport     1   35        500        500          0          0 hltRechitInRegionsECAL
TrigReport     1   36        500        500          0          0 hltRechitInRegionsES
TrigReport     1   37        500        500          0          0 hltParticleFlowRecHitECALL1Seeded
TrigReport     1   38        500        500          0          0 hltParticleFlowRecHitPSL1Seeded
TrigReport     1   39        500        500          0          0 hltParticleFlowClusterPSL1Seeded
TrigReport     1   40        500        500          0          0 hltParticleFlowClusterECALUncorrectedL1Seeded
TrigReport     1   41        500        500          0          0 hltParticleFlowClusterECALL1Seeded
TrigReport     1   42        500        500          0          0 hltParticleFlowSuperClusterECALL1Seeded
TrigReport     1   43        500        500          0          0 hltEgammaCandidates
TrigReport     1   44        500        499          1          0 hltEGL1SingleAndDoubleEGNonIsoOrWithEG26WithJetAndTauFilter
TrigReport     1   45        499        402         97          0 hltEG33EtFilter
TrigReport     1   46        402        402          0          0 hltHcalDigis
TrigReport     1   47        402        402          0          0 hltHbhePhase1Reco
TrigReport     1   48        402        402          0          0 hltHbhereco
TrigReport     1   49        402        402          0          0 hltHfprereco
TrigReport     1   50        402        402          0          0 hltHfreco
TrigReport     1   51        402        402          0          0 hltHoreco
TrigReport     1   52        402        402          0          0 hltTowerMakerForAll
TrigReport     1   53        402        402          0          0 hltHcalDigisL1EGSeeded
TrigReport     1   54        402        402          0          0 hltHbhePhase1RecoMethod2L1EGSeeded
TrigReport     1   55        402        402          0          0 hltHbherecoMethod2L1EGSeeded
TrigReport     1   56        402        402          0          0 hltTowerMakerMethod2L1EGSeeded
TrigReport     1   57        402        402          0          0 hltFixedGridRhoFastjetAllCaloForMuons
TrigReport     1   58        402        402          0          0 hltEgammaHoverE
TrigReport     1   59        402        397          5          0 hltEG33HEFilter
TrigReport     1   60        397        397          0          0 hltEgammaClusterShape
TrigReport     1   61        397        395          2          0 hltEG33CaloIdLClusterShapeFilter
TrigReport     1   62        395        395          0          0 hltSiPixelDigis
TrigReport     1   63        395        395          0          0 hltSiPixelClusters
TrigReport     1   64        395        395          0          0 hltSiPixelClustersCache
TrigReport     1   65        395        395          0          0 hltSiPixelRecHits
TrigReport     1   66        395        395          0          0 hltSiStripExcludedFEDListProducer
TrigReport     1   67        395        395          0          0 hltSiStripRawToClustersFacility
TrigReport     1   68        395        395          0          0 hltSiStripClusters
TrigReport     1   69        395        395          0          0 hltPixelLayerTriplets
TrigReport     1   70        395        395          0          0 hltEgammaHoverE
TrigReport     1   71        395        395          0          0 hltEgammaSuperClustersToPixelMatch
TrigReport     1   72        395        395          0          0 hltEleSeedsTrackingRegions
TrigReport     1   73        395        395          0          0 hltElePixelHitDoublets
TrigReport     1   74        395        395          0          0 hltElePixelHitTriplets
TrigReport     1   75        395        395          0          0 hltElePixelSeedsDoublets
TrigReport     1   76        395        395          0          0 hltElePixelSeedsTriplets
TrigReport     1   77        395        395          0          0 hltElePixelSeedsCombined
TrigReport     1   78        395        395          0          0 hltEgammaElectronPixelSeeds
TrigReport     1   79        395        395          0          0 hltEgammaPixelMatchVars
TrigReport     1   80        395        375         20          0 hltEle33CaloIdLPixelMatchFilter
TrigReport     1   81        375        372          3          0 hltEle33CaloIdLMWPMS2Filter
TrigReport     1   82        372        372          0          0 hltEcalDigis
TrigReport     1   83        372        372          0          0 hltEcalPreshowerDigis
TrigReport     1   84        372        372          0          0 hltEcalUncalibRecHit
TrigReport     1   85        372        372          0          0 hltEcalDetIdToBeRecovered
TrigReport     1   86        372        372          0          0 hltEcalRecHit
TrigReport     1   87        372        372          0          0 hltEcalPreshowerRecHit
TrigReport     1   88        372        372          0          0 hltParticleFlowRecHitECALUnseeded
TrigReport     1   89        372        372          0          0 hltParticleFlowRecHitPSUnseeded
TrigReport     1   90        372        372          0          0 hltParticleFlowClusterPSUnseeded
TrigReport     1   91        372        372          0          0 hltParticleFlowClusterECALUncorrectedUnseeded
TrigReport     1   92        372        372          0          0 hltParticleFlowClusterECALUnseeded
TrigReport     1   93        372        372          0          0 hltParticleFlowSuperClusterECALUnseeded
TrigReport     1   94        372        372          0          0 hltEgammaCandidatesUnseeded
TrigReport     1   95        372        372          0          0 hltEgammaCandidatesWrapperUnseeded
TrigReport     1   96        372        202        170          0 hltDiEG33EtUnseededFilter
TrigReport     1   97        202        202          0          0 hltHcalDigis
TrigReport     1   98        202        202          0          0 hltHbhePhase1Reco
TrigReport     1   99        202        202          0          0 hltHbhereco
TrigReport     1  100        202        202          0          0 hltHfprereco
TrigReport     1  101        202        202          0          0 hltHfreco
TrigReport     1  102        202        202          0          0 hltHoreco
TrigReport     1  103        202        202          0          0 hltTowerMakerForAll
TrigReport     1  104        202        202          0          0 hltHcalDigisL1EGUnseeded
TrigReport     1  105        202        202          0          0 hltHbhePhase1RecoMethod2L1EGUnseeded
TrigReport     1  106        202        202          0          0 hltHbherecoMethod2L1EGUnseeded
TrigReport     1  107        202        202          0          0 hltTowerMakerMethod2L1EGUnseeded
TrigReport     1  108        202        202          0          0 hltFixedGridRhoFastjetAllCaloForMuons
TrigReport     1  109        202        202          0          0 hltEgammaHoverEUnseeded
TrigReport     1  110        202        189         13          0 hltDiEG33HEUnseededFilter
TrigReport     1  111        189        189          0          0 hltEgammaClusterShapeUnseeded
TrigReport     1  112        189        187          2          0 hltDiEG33CaloIdLClusterShapeUnseededFilter
TrigReport     1  113        187        187          0          0 hltSiPixelDigis
TrigReport     1  114        187        187          0          0 hltSiPixelClusters
TrigReport     1  115        187        187          0          0 hltSiPixelClustersCache
TrigReport     1  116        187        187          0          0 hltSiPixelRecHits
TrigReport     1  117        187        187          0          0 hltSiStripExcludedFEDListProducer
TrigReport     1  118        187        187          0          0 hltSiStripRawToClustersFacility
TrigReport     1  119        187        187          0          0 hltSiStripClusters
TrigReport     1  120        187        187          0          0 hltPixelLayerTriplets
TrigReport     1  121        187        187          0          0 hltEgammaHoverEUnseeded
TrigReport     1  122        187        187          0          0 hltEgammaSuperClustersToPixelMatchUnseeded
TrigReport     1  123        187        187          0          0 hltEleSeedsTrackingRegionsUnseeded
TrigReport     1  124        187        187          0          0 hltElePixelHitDoubletsUnseeded
TrigReport     1  125        187        187          0          0 hltElePixelHitTripletsUnseeded
TrigReport     1  126        187        187          0          0 hltElePixelSeedsDoubletsUnseeded
TrigReport     1  127        187        187          0          0 hltElePixelSeedsTripletsUnseeded
TrigReport     1  128        187        187          0          0 hltElePixelSeedsCombinedUnseeded
TrigReport     1  129        187        187          0          0 hltEgammaElectronPixelSeedsUnseeded
TrigReport     1  130        187        187          0          0 hltEgammaPixelMatchVarsUnseeded
TrigReport     1  131        187        175         12          0 hltDiEle33CaloIdLPixelMatchUnseededFilter
TrigReport     1  132        175        174          1          0 hltDiEle33CaloIdLMWPMS2UnseededFilter
TrigReport     1  133        174        174          0          0 hltBoolEnd
TrigReport ---------- Modules in Path: HLT_DoublePhoton33_CaloIdL_v1 ------------
TrigReport  Trig Bit#    Visited     Passed     Failed      Error Name
TrigReport     1    0       2171       2171          0          0 unpackRPC
TrigReport     1    1       2171       2171          0          0 unpackDT
TrigReport     1    2       2171       2171          0          0 unpackCSC
TrigReport     1    3       2171       2171          0          0 unpackEcal
TrigReport     1    4       2171       2171          0          0 unpackHcal
TrigReport     1    5       2171       2171          0          0 simHcalTriggerPrimitiveDigis
TrigReport     1    6       2171       2171          0          0 simCaloStage2Layer1Digis
TrigReport     1    7       2171       2171          0          0 simCaloStage2Digis
TrigReport     1    8       2171       2171          0          0 simDtTriggerPrimitiveDigis
TrigReport     1    9       2171       2171          0          0 simCscTriggerPrimitiveDigis
TrigReport     1   10       2171       2171          0          0 simTwinMuxDigis
TrigReport     1   11       2171       2171          0          0 simBmtfDigis
TrigReport     1   12       2171       2171          0          0 simEmtfDigis
TrigReport     1   13       2171       2171          0          0 simOmtfDigis
TrigReport     1   14       2171       2171          0          0 simGmtCaloSumDigis
TrigReport     1   15       2171       2171          0          0 simGmtStage2Digis
TrigReport     1   16       2171       2171          0          0 simGtExtFakeStage2Digis
TrigReport     1   17       2171       2171          0          0 simGtStage2Digis
TrigReport     1   18       2171       2171          0          0 packCaloStage2
TrigReport     1   19       2171       2171          0          0 packGmtStage2
TrigReport     1   20       2171       2171          0          0 packGtStage2
TrigReport     1   21       2171       2171          0          0 rawDataCollector
TrigReport     1   22       2171       2171          0          0 hltTriggerType
TrigReport     1   23       2171       2171          0          0 hltGtStage2Digis
TrigReport     1   24       2171       2171          0          0 hltGtStage2ObjectMap
TrigReport     1   25       2171       2171          0          0 hltScalersRawToDigi
TrigReport     1   26       2171       2171          0          0 hltOnlineBeamSpot
TrigReport     1   27       2171        500       1671          0 hltL1sSingleAndDoubleEGNonIsoOrWithEG26WithJetAndTau
TrigReport     1   28        500        500          0          0 hltPreDoublePhoton33CaloIdL
TrigReport     1   29        500        500          0          0 hltEcalDigis
TrigReport     1   30        500        500          0          0 hltEcalPreshowerDigis
TrigReport     1   31        500        500          0          0 hltEcalUncalibRecHit
TrigReport     1   32        500        500          0          0 hltEcalDetIdToBeRecovered
TrigReport     1   33        500        500          0          0 hltEcalRecHit
TrigReport     1   34        500        500          0          0 hltEcalPreshowerRecHit
TrigReport     1   35        500        500          0          0 hltRechitInRegionsECAL
TrigReport     1   36        500        500          0          0 hltRechitInRegionsES
TrigReport     1   37        500        500          0          0 hltParticleFlowRecHitECALL1Seeded
TrigReport     1   38        500        500          0          0 hltParticleFlowRecHitPSL1Seeded
TrigReport     1   39        500        500          0          0 hltParticleFlowClusterPSL1Seeded
TrigReport     1   40        500        500          0          0 hltParticleFlowClusterECALUncorrectedL1Seeded
TrigReport     1   41        500        500          0          0 hltParticleFlowClusterECALL1Seeded
TrigReport     1   42        500        500          0          0 hltParticleFlowSuperClusterECALL1Seeded
TrigReport     1   43        500        500          0          0 hltEgammaCandidates
TrigReport     1   44        500        499          1          0 hltEGL1SingleAndDoubleEGNonIsoOrWithEG26WithJetAndTauFilter
TrigReport     1   45        499        402         97          0 hltEG33EtFilter
TrigReport     1   46        402        402          0          0 hltHcalDigis
TrigReport     1   47        402        402          0          0 hltHbhePhase1Reco
TrigReport     1   48        402        402          0          0 hltHbhereco
TrigReport     1   49        402        402          0          0 hltHfprereco
TrigReport     1   50        402        402          0          0 hltHfreco
TrigReport     1   51        402        402          0          0 hltHoreco
TrigReport     1   52        402        402          0          0 hltTowerMakerForAll
TrigReport     1   53        402        402          0          0 hltHcalDigisL1EGSeeded
