TrigReport ---------- Event  Summary ------------
TrigReport Events total = 1000 passed = 207 failed = 793

TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     1   20       1000       1000          0          0 packCaloStage2
TrigReport     1   21       1000       1000          0          0 packGmtStage2
TrigReport     1   22       1000       1000          0          0 packGtStage2
TrigReport     1   23       1000       1000          0          0 rawDataCollector
TrigReport     1   24       1000       1000          0          0 hltTriggerType
TrigReport     1   25       1000       1000          0          0 hltGtStage2Digis
TrigReport     1   26       1000       1000          0          0 hltGtStage2ObjectMap
TrigReport     1   27       1000       1000          0          0 hltScalersRawToDigi
TrigReport     1   28       1000       1000          0          0 hltOnlineBeamSpot
TrigReport     1   29       1000        311        689          0 hltL1sSingleEGor
TrigReport     1   30        311        311          0          0 hltPreEle25WPNoneGsf
TrigReport     1   31        311        311          0          0 hltEcalDigis
TrigReport     1   32        311        311          0          0 hltEcalPreshowerDigis
TrigReport     1   33        311        311          0          0 hltEcalUncalibRecHit
TrigReport     1   34        311        311          0          0 hltEcalDetIdToBeRecovered
TrigReport     1   35        311        311          0          0 hltEcalRecHit
TrigReport     1   36        311        311          0          0 hltEcalPreshowerRecHit
TrigReport     1   37        311        311          0          0 hltRechitInRegionsECAL
TrigReport     1   38        311        311          0          0 hltRechitInRegionsES
TrigReport     1   39        311        311          0          0 hltParticleFlowRecHitECALL1Seeded
TrigReport     1   40        311        311          0          0 hltParticleFlowRecHitPSL1Seeded
TrigReport     1   41        311        311          0          0 hltParticleFlowClusterPSL1Seeded
TrigReport     1   42        311        311          0          0 hltParticleFlowClusterECALUncorrectedL1Seeded
TrigReport     1   43        311        311          0          0 hltParticleFlowClusterECALL1Seeded
TrigReport     1   44        311        311          0          0 hltParticleFlowSuperClusterECALL1Seeded
TrigReport     1   45        311        311          0          0 hltEgammaCandidates
TrigReport     1   46        311        307          4          0 hltEGL1SingleEGOrFilter
TrigReport     1   47        307        283         24          0 hltEG25L1IsoEG22erORIsoEG24erORIsoEG24ORIsoEG26OREG40EtFilter
TrigReport     1   48        283        283          0          0 hltEgammaClusterShape
TrigReport     1   49        283        283          0          0 hltEle25WPNoneClusterShapeFilter
TrigReport     1   50        283        283          0          0 hltHcalDigis
TrigReport     1   51        283        283          0          0 hltHbhePhase1Reco
TrigReport     1   52        283        283          0          0 hltHbhereco
TrigReport     1   53        283        283          0          0 hltHfprereco
TrigReport     1   54        283        283          0          0 hltHfreco
TrigReport     1   55        283        283          0          0 hltHoreco
TrigReport     1   56        283        283          0          0 hltTowerMakerForAll
TrigReport     1   57        283        283          0          0 hltHcalDigisL1EGSeeded
TrigReport     1   58        283        283          0          0 hltHbherecoMethod2L1EGSeeded
TrigReport     1   59        283        283          0          0 hltTowerMakerMethod2L1EGSeeded
TrigReport     1   60        283        283          0          0 hltFixedGridRhoFastjetAllCaloForMuons
TrigReport     1   61        283        283          0          0 hltEgammaHoverERhoCorr
TrigReport     1   62        283        283          0          0 hltEle25WPNoneHEFilter
TrigReport     1   63        283        283          0          0 hltEgammaEcalPFClusterIso
TrigReport     1   64        283        283          0          0 hltEle25WPNoneEcalIsoFilter
TrigReport     1   65        283        283          0          0 hltRegionalTowerForEgamma
TrigReport     1   66        283        283          0          0 hltParticleFlowRecHitHBHEForEgamma
TrigReport     1   67        283        283          0          0 hltParticleFlowRecHitHCALForEgamma
TrigReport     1   68        283        283          0          0 hltParticleFlowClusterHBHEForEgamma
TrigReport     1   69        283        283          0          0 hltParticleFlowClusterHCALForEgamma
TrigReport     1   70        283        283          0          0 hltEgammaHcalPFClusterIso
TrigReport     1   71        283        283          0          0 hltEle25WPNoneHcalIsoFilter
TrigReport     1   72        283        283          0          0 hltSiPixelDigis
TrigReport     1   73        283        283          0          0 hltSiPixelClusters
TrigReport     1   74        283        283          0          0 hltSiPixelClustersCache
TrigReport     1   75        283        283          0          0 hltSiPixelRecHits
TrigReport     1   76        283        283          0          0 hltSiStripExcludedFEDListProducer
TrigReport     1   77        283        283          0          0 hltSiStripRawToClustersFacility
TrigReport     1   78        283        283          0          0 hltSiStripClusters
TrigReport     1   79        283        283          0          0 hltPixelLayerTriplets
TrigReport     1   80        283        283          0          0 hltEgammaHoverE
TrigReport     1   81        283        283          0          0 hltEgammaSuperClustersToPixelMatch
TrigReport     1   82        283        283          0          0 hltEleSeedsTrackingRegions
TrigReport     1   83        283        283          0          0 hltElePixelHitDoublets
TrigReport     1   84        283        283          0          0 hltElePixelHitTriplets
TrigReport     1   85        283        283          0          0 hltElePixelSeedsDoublets
TrigReport     1   86        283        283          0          0 hltElePixelSeedsTriplets
TrigReport     1   87        283        283          0          0 hltElePixelSeedsCombined
TrigReport     1   88        283        283          0          0 hltEgammaElectronPixelSeeds
TrigReport     1   89        283        283          0          0 hltEgammaPixelMatchVars
TrigReport     1   90        283        195         88          0 hltEle25WPNonePixelMatchFilter
TrigReport     1   91        195        195          0          0 hltEle25WPNoneS2Filter
TrigReport     1   92        195        195          0          0 hltEgammaCkfTrackCandidatesForGSF
TrigReport     1   93        195        195          0          0 hltEgammaGsfTracks
TrigReport     1   94        195        195          0          0 hltEgammaGsfElectrons
TrigReport     1   95        195        195          0          0 hltEgammaGsfTrackVars
TrigReport     1   96        195        195          0          0 hltEle25WPNoneGsfOneOEMinusOneOPFilter
TrigReport     1   97        195        195          0          0 hltEle25WPNoneGsfChi2Filter
TrigReport     1   98        195        195          0          0 hltEle25WPNoneGsfMissingHitsFilter
TrigReport     1   99        195        195          0          0 hltEle25WPNoneGsfDetaFilter
TrigReport     1  100        195        195          0          0 hltEle25WPNoneGsfDphiFilter
TrigReport     1  101        195        195          0          0 hltElectronsVertex
TrigReport     1  102        195        195          0          0 hltSiPixelDigis
TrigReport     1  103        195        195          0          0 hltSiPixelClusters
TrigReport     1  104        195        195          0          0 hltSiPixelClustersCache
TrigReport     1  105        195        195          0          0 hltSiPixelRecHits
TrigReport     1  106        195        195          0          0 hltPixelLayerTriplets
TrigReport     1  107        195        195          0          0 hltPixelTracksElectronsFilter
TrigReport     1  108        195        195          0          0 hltPixelTracksElectronsFitter
TrigReport     1  109        195        195          0          0 hltPixelTracksTrackingRegionsElectrons
TrigReport     1  110        195        195          0          0 hltPixelTracksHitDoubletsElectrons
TrigReport     1  111        195        195          0          0 hltPixelTracksHitTripletsElectrons
TrigReport     1  112        195        195          0          0 hltPixelTracksElectrons
TrigReport     1  113        195        195          0          0 hltPixelVerticesElectrons
TrigReport     1  114        195        195          0          0 hltSiStripExcludedFEDListProducer
TrigReport     1  115        195        195          0          0 hltSiStripRawToClustersFacility
TrigReport     1  116        195        195          0          0 hltSiStripClusters
TrigReport     1  117        195        195          0          0 hltIter0ElectronsPixelSeedsFromPixelTracks
TrigReport     1  118        195        195          0          0 hltIter0ElectronsCkfTrackCandidates
TrigReport     1  119        195        195          0          0 hltIter0ElectronsCtfWithMaterialTracks
TrigReport     1  120        195        195          0          0 hltIter0ElectronsTrackSelectionHighPurity
TrigReport     1  121        195        195          0          0 hltIter1ElectronsClustersRefRemoval
TrigReport     1  122        195        195          0          0 hltIter1ElectronsMaskedMeasurementTrackerEvent
TrigReport     1  123        195        195          0          0 hltIter1ElectronsPixelLayerTriplets
TrigReport     1  124        195        195          0          0 hltIter1ElectronsPixelTrackingRegions
TrigReport     1  125        195        195          0          0 hltIter1ElectronsPixelClusterCheck
TrigReport     1  126        195        195          0          0 hltIter1ElectronsPixelHitDoublets
TrigReport     1  127        195        195          0          0 hltIter1ElectronsPixelHitTriplets
TrigReport     1  128        195        195          0          0 hltIter1ElectronsPixelSeeds
TrigReport     1  129        195        195          0          0 hltIter1ElectronsCkfTrackCandidates
TrigReport     1  130        195        195          0          0 hltIter1ElectronsCtfWithMaterialTracks
TrigReport     1  131        195        195          0          0 hltIter1ElectronsTrackSelectionHighPurityLoose
TrigReport     1  132        195        195          0          0 hltIter1ElectronsTrackSelectionHighPurityTight
TrigReport     1  133        195        195          0          0 hltIter1ElectronsTrackSelectionHighPurity
TrigReport     1  134        195        195          0          0 hltIter1MergedForElectrons
TrigReport     1  135        195        195          0          0 hltIter2ElectronsClustersRefRemoval
TrigReport     1  136        195        195          0          0 hltIter2ElectronsMaskedMeasurementTrackerEvent
TrigReport     1  137        195        195          0          0 hltIter2ElectronsPixelLayerPairs
TrigReport     1  138        195        195          0          0 hltIter2ElectronsPixelTrackingRegions
TrigReport     1  139        195        195          0          0 hltIter2ElectronsPixelClusterCheck
TrigReport     1  140        195        195          0          0 hltIter2ElectronsPixelHitDoublets
TrigReport     1  141        195        195          0          0 hltIter2ElectronsPixelSeeds
TrigReport     1  142        195        195          0          0 hltIter2ElectronsCkfTrackCandidates
TrigReport     1  143        195        195          0          0 hltIter2ElectronsCtfWithMaterialTracks
TrigReport     1  144        195        195          0          0 hltIter2ElectronsTrackSelectionHighPurity
TrigReport     1  145        195        195          0          0 hltIter2MergedForElectrons
TrigReport     1  146        195        195          0          0 hltEgammaEleGsfTrackIso
TrigReport     1  147        195        195          0          0 hltEle25WPNoneGsfTrackIsoFilter
TrigReport     1  148        195        195          0          0 hltBoolEnd
