TrigReport ---------- Event  Summary ------------
TrigReport Events total = 1000 passed = 228 failed = 772

TrigReport ---------- Path   Summary ------------
TrigReport  Trig Bit#   Executed     Passed     Failed      Error Name
TrigReport     1   39        222        222          0          0 hltParticleFlowRecHitECALL1Seeded
TrigReport     1   40        222        222          0          0 hltParticleFlowRecHitPSL1Seeded
TrigReport     1   41        222        222          0          0 hltParticleFlowClusterPSL1Seeded
TrigReport     1   42        222        222          0          0 hltParticleFlowClusterECALUncorrectedL1Seeded
TrigReport     1   43        222        222          0          0 hltParticleFlowClusterECALL1Seeded
TrigReport     1   44        222        222          0          0 hltParticleFlowSuperClusterECALL1Seeded
TrigReport     1   45        222        222          0          0 hltEgammaCandidates
TrigReport     1   46        222        215          7          0 hltEGL1SingleEGOrFilter
TrigReport     1   47        215        206          9          0 hltEG25L1IsoEG22erORIsoEG24erORIsoEG24ORIsoEG26OREG40EtFilter
TrigReport     1   48        206        206          0          0 hltEgammaClusterShape
TrigReport     1   49        206        206          0          0 hltEle25WPNoneClusterShapeFilter
TrigReport     1   50        206        206          0          0 hltHcalDigis
TrigReport     1   51        206        206          0          0 hltHbhePhase1Reco
TrigReport     1   52        206        206          0          0 hltHbhereco
TrigReport     1   53        206        206          0          0 hltHfprereco
TrigReport     1   54        206        206          0          0 hltHfreco
TrigReport     1   55        206        206          0          0 hltHoreco
TrigReport     1   56        206        206          0          0 hltTowerMakerForAll
TrigReport     1   57        206        206          0          0 hltHcalDigisL1EGSeeded
TrigReport     1   58        206        206          0          0 hltHbherecoMethod2L1EGSeeded
TrigReport     1   59        206        206          0          0 hltTowerMakerMethod2L1EGSeeded
TrigReport     1   60        206        206          0          0 hltFixedGridRhoFastjetAllCaloForMuons
TrigReport     1   61        206        206          0          0 hltEgammaHoverERhoCorr
TrigReport     1   62        206        206          0          0 hltEle25WPNoneHEFilter
TrigReport     1   63        206        206          0          0 hltEgammaEcalPFClusterIso
TrigReport     1   64        206        206          0          0 hltEle25WPNoneEcalIsoFilter
TrigReport     1   65        206        206          0          0 hltRegionalTowerForEgamma
TrigReport     1   66        206        206          0          0 hltParticleFlowRecHitHBHEForEgamma
TrigReport     1   67        206        206          0          0 hltParticleFlowRecHitHCALForEgamma
TrigReport     1   68        206        206          0          0 hltParticleFlowClusterHBHEForEgamma
